PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0075 CAMELOT,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2592,1248,1336,0.48148148148148145,0.5154320987654321,88,0.0339506172839506,"DEM - SINEMA, KYRSTEN",DEM
0076 CAMEO,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2240,1575,NA,0.703125,NA,918,0.40982142857142856,"REP - FRANKS, TRENT",REP
0077 CAMPBELL,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2628,1834,789,0.697869101978691,0.3002283105022831,1045,0.3976407914764079,"REP - BIGGS, ANDY",REP
0078 CAMPBELL PARK,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1114,425,685,0.38150807899461403,0.6149012567324955,260,0.23339317773788149,"DEM - SINEMA, KYRSTEN",DEM
0079 CANDLELIGHT,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3415,2471,941,0.7235724743777452,0.2755490483162518,1530,0.44802342606149337,"REP - BIGGS, ANDY",REP
0080 CANTERBURY,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2156,1269,883,0.5885899814471243,0.4095547309833024,386,0.17903525046382185,"REP - SCHWEIKERT, DAVID",REP
0081 CANYON,US Rep Dst CD 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKEL",193,137,55,0.7098445595854922,0.2849740932642487,82,0.4248704663212435,"REP - GOSAR, PAUL",REP
0082 CAPITOL SCHOOL,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1180,297,875,0.25169491525423726,0.7415254237288136,578,0.4898305084745763,"DEM - GALLEGO, RUBEN",DEM
0083 CARDINAL,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2598,1126,1472,0.4334103156274057,0.5665896843725943,346,0.1331793687451886,"DEM - SINEMA, KYRSTEN",DEM
0084 CAREFREE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2453,1749,701,0.7130044843049327,0.2857725234406849,1048,0.4272319608642478,"REP - SCHWEIKERT, DAVID",REP
0085 CARL,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1794,450,1338,0.2508361204013378,0.745819397993311,888,0.4949832775919732,"DEM - GALLEGO, RUBEN",DEM
0086 CARLA VISTA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1653,636,1010,0.38475499092558985,0.6110102843315185,374,0.22625529340592865,"DEM - SINEMA, KYRSTEN",DEM
0087 CAROL ANN,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2517,1680,NA,0.6674612634088201,NA,849,0.33730631704410013,"REP - FRANKS, TRENT",REP
0088 CARON,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1652,983,NA,0.5950363196125908,NA,321,0.19430992736077485,"REP - FRANKS, TRENT",REP
0089 CARRIAGE LANE,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2066,860,1205,0.41626331074540174,0.5832526621490803,345,0.1669893514036786,"DEM - SINEMA, KYRSTEN",DEM
0090 CARVER,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",2084,657,1424,0.31525911708253357,0.6833013435700576,767,0.368042226487524,"DEM - GALLEGO, RUBEN",DEM
0091 CASHION,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",2669,NA,2578,NA,0.9659048332708879,2487,0.9318096665417759,"DEM - GRIJALVA, RAÚL",DEM
0092 CATAMARAN,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2088,1386,697,0.6637931034482759,0.33381226053639845,689,0.32998084291187746,"REP - BIGGS, ANDY",REP
