PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0053 BLUE SKY,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,812,592,NA,0.729064039,NA,373,0.459359606,"REP - FRANKS, TRENT",REP
0054 BLUEBIRD,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",3319,1772,1534,0.533895752,0.462187406,238,0.071708346,"REP - SCHWEIKERT, DAVID",REP
0055 BLUEFIELD,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2128,1256,861,0.590225564,0.404605263,395,0.185620301,"REP - SCHWEIKERT, DAVID",REP
0056 BONANZA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1385,1005,NA,0.725631769,NA,629,0.454151625,"REP - FRANKS, TRENT",REP
0057 BONSALL PARK,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",391,103,285,0.26342711,0.728900256,182,0.465473146,"DEM - GALLEGO, RUBEN",DEM
0058 BREWER,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2155,1525,NA,0.707656613,NA,906,0.420417633,"REP - FRANKS, TRENT",REP
0059 BRONCO,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2699,1956,743,0.724712857,0.275287143,1213,0.449425713,"REP - SCHWEIKERT, DAVID",REP
0060 BROOKS FARM,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",6115,4184,1917,0.684219133,0.313491415,2267,0.370727719,"REP - BIGGS, ANDY",REP
0061 BUCKEYE,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",647,NA,579,NA,0.894899536,511,0.789799073,"DEM - GRIJALVA, RAÚL",DEM
0062 BUCKLEY,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1515,559,951,0.368976898,0.627722772,392,0.258745875,"DEM - SINEMA, KYRSTEN",DEM
0063 BUFFALO RIDGE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2547,1447,1093,0.568119356,0.429132313,354,0.138987044,"REP - SCHWEIKERT, DAVID",REP
0064 BULLARD,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",53,NA,50,NA,0.943396226,47,0.886792453,"DEM - GRIJALVA, RAÚL",DEM
0065 BULLMOOSE,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1475,749,722,0.50779661,0.489491525,27,0.018305085,"REP - GILES, DAVE",REP
0066 BUNKER PEAK,US Rep Dst CD 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKEL",246,138,108,0.56097561,0.43902439,30,0.12195122,"REP - GOSAR, PAUL",REP
0067 BURGESS,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1427,299,1128,0.209530484,0.790469516,829,0.580939033,"DEM - GALLEGO, RUBEN",DEM
0068 BUTLER,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,3438,1849,NA,0.537812682,NA,277,0.080570099,"REP - FRANKS, TRENT",REP
0069 CACTUS GLEN,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2065,1393,669,0.674576271,0.323970944,724,0.350605327,"REP - SCHWEIKERT, DAVID",REP
0070 CAIRO,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2033,628,1399,0.308903099,0.688145598,771,0.379242499,"DEM - SINEMA, KYRSTEN",DEM
0071 CALAVAR,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,953,591,NA,0.620146905,NA,233,0.244491081,"REP - FRANKS, TRENT",REP
0072 CALAVEROS,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1249,683,564,0.54683747,0.451561249,119,0.095276221,"REP - SCHWEIKERT, DAVID",REP
0073 CALYPSO,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2003,1282,719,0.64003994,0.358961558,563,0.281078382,"REP - BIGGS, ANDY",REP
0074 CAMBRIDGE,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",364,62,300,0.17032967,0.824175824,238,0.653846154,"DEM - GALLEGO, RUBEN",DEM
0075 CAMELOT,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2592,1248,1336,0.481481481,0.515432099,88,0.033950617,"DEM - SINEMA, KYRSTEN",DEM
0076 CAMEO,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2240,1575,NA,0.703125,NA,918,0.409821429,"REP - FRANKS, TRENT",REP
0077 CAMPBELL,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2628,1834,789,0.697869102,0.300228311,1045,0.397640791,"REP - BIGGS, ANDY",REP
0078 CAMPBELL PARK,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1114,425,685,0.381508079,0.614901257,260,0.233393178,"DEM - SINEMA, KYRSTEN",DEM
0079 CANDLELIGHT,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3415,2471,941,0.723572474,0.275549048,1530,0.448023426,"REP - BIGGS, ANDY",REP
0080 CANTERBURY,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2156,1269,883,0.588589981,0.409554731,386,0.17903525,"REP - SCHWEIKERT, DAVID",REP
0081 CANYON,US Rep Dst CD 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKEL",193,137,55,0.70984456,0.284974093,82,0.424870466,"REP - GOSAR, PAUL",REP
0082 CAPITOL SCHOOL,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1180,297,875,0.251694915,0.741525424,578,0.489830508,"DEM - GALLEGO, RUBEN",DEM
0083 CARDINAL,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2598,1126,1472,0.433410316,0.566589684,346,0.133179369,"DEM - SINEMA, KYRSTEN",DEM
0084 CAREFREE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2453,1749,701,0.713004484,0.285772523,1048,0.427231961,"REP - SCHWEIKERT, DAVID",REP
0085 CARL,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1794,450,1338,0.25083612,0.745819398,888,0.494983278,"DEM - GALLEGO, RUBEN",DEM
0086 CARLA VISTA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1653,636,1010,0.384754991,0.611010284,374,0.226255293,"DEM - SINEMA, KYRSTEN",DEM
0087 CAROL ANN,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2517,1680,NA,0.667461263,NA,849,0.337306317,"REP - FRANKS, TRENT",REP
0088 CARON,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1652,983,NA,0.59503632,NA,321,0.194309927,"REP - FRANKS, TRENT",REP
0089 CARRIAGE LANE,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2066,860,1205,0.416263311,0.583252662,345,0.166989351,"DEM - SINEMA, KYRSTEN",DEM
0090 CARVER,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",2084,657,1424,0.315259117,0.683301344,767,0.368042226,"DEM - GALLEGO, RUBEN",DEM
0091 CASHION,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",2669,NA,2578,NA,0.965904833,2487,0.931809667,"DEM - GRIJALVA, RAÚL",DEM
0092 CATAMARAN,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2088,1386,697,0.663793103,0.333812261,689,0.329980843,"REP - BIGGS, ANDY",REP
0093 CAVE BUTTES,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",3066,1933,1126,0.630463144,0.367253751,807,0.263209393,"REP - SCHWEIKERT, DAVID",REP
