PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0435 MONTOYA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2745,1923,787,0.7005464480874317,0.2867030965391621,1136,0.4138433515482696,"REP - DUCEY, DOUG",REP
0436 MOON VALLEY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2069,1337,701,0.6462058965683906,0.3388110198163364,636,0.3073948767520542,"REP - DUCEY, DOUG",REP
0437 MORRISTOWN,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",559,441,112,0.7889087656529516,0.2003577817531306,329,0.5885509838998211,"REP - DUCEY, DOUG",REP
0438 MOUNTAIN SKY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2702,1479,1169,0.5473723168023686,0.4326424870466321,310,0.11472982975573653,"REP - DUCEY, DOUG",REP
0439 MOUNTAIN VISTA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3007,2146,803,0.7136681077485866,0.26704356501496507,1343,0.4466245427336215,"REP - DUCEY, DOUG",REP
0440 MUMMY MOUNTAIN,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2564,1389,1132,0.5417316692667706,0.4414976599063963,257,0.10023400936037435,"REP - DUCEY, DOUG",REP
0441 MUSKET,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3404,1743,1606,0.5120446533490012,0.4717978848413631,137,0.04024676850763809,"REP - DUCEY, DOUG",REP
0442 MUSTANG,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3135,1917,1183,0.6114832535885167,0.3773524720893142,734,0.23413078149920252,"REP - DUCEY, DOUG",REP
0443 MYSTIC,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2630,1479,1102,0.5623574144486692,0.4190114068441065,377,0.14334600760456268,"REP - DUCEY, DOUG",REP
0444 NEW RIVER,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2949,2241,642,0.7599186164801628,0.21770091556459817,1599,0.5422177009155646,"REP - DUCEY, DOUG",REP
0445 NICOLET,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1369,638,680,0.4660336011687363,0.4967129291453616,42,0.03067932797662526,"DEM - GARCIA, DAVID",DEM
0446 NIGHTINGALE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2057,1215,815,0.5906660184735051,0.39620807000486147,400,0.19445794846864362,"REP - DUCEY, DOUG",REP
0447 NORTERRA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",4453,2810,1594,0.6310352571300247,0.3579609252189535,1216,0.2730743319110712,"REP - DUCEY, DOUG",REP
0448 NORTH HIGH,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1950,489,1408,0.25076923076923074,0.7220512820512821,919,0.47128205128205136,"DEM - GARCIA, DAVID",DEM
0449 NORTON,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",355,150,196,0.4225352112676056,0.5521126760563381,46,0.12957746478873244,"DEM - GARCIA, DAVID",DEM
0450 OAK PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",484,183,278,0.378099173553719,0.5743801652892562,95,0.19628099173553715,"DEM - GARCIA, DAVID",DEM
0451 OAKGROVE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1223,580,611,0.4742436631234669,0.49959116925592806,31,0.025347506132461173,"DEM - GARCIA, DAVID",DEM
0452 OAKHURST,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",771,467,294,0.6057068741893644,0.38132295719844356,173,0.22438391699092086,"REP - DUCEY, DOUG",REP
0453 OAKTREE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2976,1521,1411,0.5110887096774194,0.4741263440860215,110,0.03696236559139787,"REP - DUCEY, DOUG",REP
0454 OAKWOOD COUNTRY CLUB,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",4071,2972,1051,0.7300417587816261,0.2581675264062884,1921,0.47187423237533777,"REP - DUCEY, DOUG",REP
0455 OASIS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",4348,3023,1219,0.6952621895124195,0.2803587856485741,1804,0.4149034038638454,"REP - DUCEY, DOUG",REP
0456 OCOTILLO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",809,301,477,0.3720642768850433,0.5896168108776267,176,0.21755253399258345,"DEM - GARCIA, DAVID",DEM
0457 OLD WEST,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1762,959,730,0.5442678774120318,0.41430192962542567,229,0.12996594778660608,"REP - DUCEY, DOUG",REP
0458 OLIVE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1920,1340,533,0.6979166666666666,0.27760416666666665,807,0.4203125,"REP - DUCEY, DOUG",REP
0459 OLNEY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1679,679,951,0.4044073853484217,0.566408576533651,272,0.16200119118522927,"DEM - GARCIA, DAVID",DEM
0460 ONYX,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1771,881,855,0.49745906267645396,0.4827780914737436,26,0.014680971202710336,"REP - DUCEY, DOUG",REP
0461 OPTIMIST,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2583,1143,1380,0.4425087108013937,0.5342624854819977,237,0.09175377468060403,"DEM - GARCIA, DAVID",DEM
0462 ORANGE TREE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1010,662,341,0.6554455445544555,0.33762376237623765,321,0.3178217821782178,"REP - DUCEY, DOUG",REP
0463 ORANGEWOOD,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1338,599,711,0.4476831091180867,0.531390134529148,112,0.08370702541106129,"DEM - GARCIA, DAVID",DEM
0464 ORANGEWOOD FARMS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3120,1785,1260,0.5721153846153846,0.40384615384615385,525,0.16826923076923073,"REP - DUCEY, DOUG",REP
0465 ORME,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2195,879,1253,0.4004555808656036,0.5708428246013667,374,0.17038724373576308,"DEM - GARCIA, DAVID",DEM
0466 OSUNA PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1948,965,917,0.4953798767967146,0.4707392197125257,48,0.02464065708418889,"REP - DUCEY, DOUG",REP
0467 OVAL,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1451,980,447,0.6753962784286699,0.30806340454858716,533,0.36733287388008273,"REP - DUCEY, DOUG",REP
0468 PAINTED MOUNTAIN,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1727,1196,484,0.692530399536769,0.2802547770700637,712,0.4122756224667053,"REP - DUCEY, DOUG",REP
0469 PAIUTE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2186,900,1227,0.41171088746569073,0.561299176578225,327,0.1495882891125343,"DEM - GARCIA, DAVID",DEM
0470 PALISADES,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2276,1589,661,0.6981546572934973,0.29042179261862916,928,0.4077328646748682,"REP - DUCEY, DOUG",REP
0471 PALM GARDENS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",207,104,96,0.5024154589371981,0.463768115942029,8,0.03864734299516909,"REP - DUCEY, DOUG",REP
0472 PALM VALLEY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1578,933,623,0.591254752851711,0.39480354879594426,310,0.19645120405576677,"REP - DUCEY, DOUG",REP
0473 PALMAIRE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",962,440,502,0.4573804573804574,0.5218295218295218,62,0.0644490644490644,"DEM - GARCIA, DAVID",DEM
0474 PALMBROOK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2305,1052,1174,0.45639913232104123,0.5093275488069414,122,0.05292841648590019,"DEM - GARCIA, DAVID",DEM
0475 PALMDALE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1078,266,782,0.24675324675324675,0.725417439703154,516,0.47866419294990725,"DEM - GARCIA, DAVID",DEM
0476 PALMER,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2046,750,1251,0.36656891495601174,0.6114369501466276,501,0.24486803519061584,"DEM - GARCIA, DAVID",DEM
0477 PALO BLANCO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2067,1243,771,0.6013546202225447,0.37300435413642963,472,0.22835026608611508,"REP - DUCEY, DOUG",REP
0478 PALO CRISTI,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1812,1256,545,0.6931567328918322,0.3007726269315673,711,0.3923841059602649,"REP - DUCEY, DOUG",REP
0479 PALO VERDE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3027,1616,1313,0.5338619094813346,0.4337628014535844,303,0.10009910802775018,"REP - DUCEY, DOUG",REP
0480 PALOMINO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2058,1013,982,0.49222546161321673,0.4771622934888241,31,0.015063168124392623,"REP - DUCEY, DOUG",REP
0481 PAPAGO PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",970,291,641,0.3,0.6608247422680412,350,0.36082474226804123,"DEM - GARCIA, DAVID",DEM
0482 PARADA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1516,397,1071,0.26187335092348285,0.7064643799472295,674,0.4445910290237467,"DEM - GARCIA, DAVID",DEM
0483 PARADISE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",775,485,270,0.6258064516129033,0.34838709677419355,215,0.2774193548387097,"REP - DUCEY, DOUG",REP
0484 PARADISE PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1511,856,612,0.5665122435473197,0.40502978160158837,244,0.1614824619457313,"REP - DUCEY, DOUG",REP
0485 PARK CENTRAL,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3206,811,2309,0.25296319401122896,0.7202121023081722,1498,0.46724890829694327,"DEM - GARCIA, DAVID",DEM
0486 PARK MEADOWS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1079,718,355,0.6654309545875811,0.3290083410565338,363,0.33642261353104724,"REP - DUCEY, DOUG",REP
0487 PARKRIDGE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2953,1872,1013,0.6339315949881477,0.3430409752793769,859,0.2908906197087708,"REP - DUCEY, DOUG",REP
0488 PARKWOOD,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2174,1466,656,0.6743330266789328,0.3017479300827967,810,0.3725850965961361,"REP - DUCEY, DOUG",REP
0489 PEAK VIEW,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2019,1463,537,0.7246161466072313,0.2659732540861813,926,0.45864289252105,"REP - DUCEY, DOUG",REP
0490 PEBBLE CREEK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",6232,4447,1712,0.7135750962772786,0.27471116816431324,2735,0.4388639281129653,"REP - DUCEY, DOUG",REP
0491 PECK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",696,218,442,0.3132183908045977,0.6350574712643678,224,0.32183908045977017,"DEM - GARCIA, DAVID",DEM
0492 PECOS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3597,1992,1531,0.5537948290241869,0.42563247150403116,461,0.1281623575201557,"REP - DUCEY, DOUG",REP
